player_id,player_alias,team_or_country,flag,maps,rounds,rating,acs,kd,kast_pct,adr,kpr,apr,fkfd,fkpr,fdpr,hs_pct,clutch_pct,clutches_won,clutches_played,kmax,kmax_match_url,kills,deaths,assists,first_kills,first_deaths,source,filters,agents
8480,aspas,MIBR,br,15,330,1.33,262.0,1.66,79.0,164.7,0.97,0.13,2.91,0.2,0.07,26.0,8.0,2,26,32,/542269/mibr-vs-nrg-valorant-champions-2025-ubsf/?game=233472,319,192,44,67,23,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",neon:33.0; waylay:27.0; jett:27.0
10971,RieNs,TH,tr,12,256,1.17,226.0,1.14,73.0,148.9,0.79,0.33,1.5,0.07,0.05,34.0,20.0,7,35,23,/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d/?game=233448,203,178,85,18,12,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",fade:67.0; sova:33.0
2172,brawk,NRG,us,17,377,1.16,225.0,1.17,76.0,144.7,0.73,0.34,1.13,0.07,0.06,17.0,9.0,4,47,28,/542208/drx-vs-nrg-valorant-champions-2025-winners-c/?game=233435,275,236,128,26,23,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",sova:82.0; vyse:18.0
9554,kaajak,FNC,pl,22,453,1.15,228.0,1.2,71.0,148.2,0.82,0.2,1.61,0.21,0.13,32.0,13.0,4,30,30,/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf/?game=233469,372,311,90,95,59,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",yoru:64.0; waylay:18.0; raze:14.0
1265,johnqt,SEN,ma,6,126,1.14,187.0,1.13,79.0,118.7,0.67,0.27,1.0,0.04,0.04,33.0,9.0,2,22,17,/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a/?game=233402,85,75,34,5,5,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",viper:67.0; cypher:17.0; sova:17.0
4742,Smoggy,EDG,cn,5,119,1.13,206.0,1.09,77.0,135.3,0.74,0.4,2.2,0.09,0.04,25.0,17.0,4,23,26,/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c/?game=233430,88,81,48,11,5,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",omen:80.0; brimstone:20.0
7873,leaf,G2,us,12,268,1.11,223.0,1.13,71.0,151.5,0.79,0.26,1.25,0.11,0.09,21.0,15.0,5,33,30,/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf/?game=233462,213,188,69,30,24,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",viper:58.0; deadlock:17.0; chamber:17.0
17086,something,PRX,ru,16,356,1.1,220.0,1.17,72.0,141.0,0.79,0.26,1.19,0.16,0.13,25.0,13.0,5,38,28,/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf/?game=233461,281,240,94,57,48,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",yoru:88.0; sova:13.0
11118,skuba,NRG,us,17,377,1.09,190.0,1.17,76.0,124.9,0.71,0.25,0.88,0.06,0.06,30.0,21.0,12,58,28,/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c/?game=233430,266,228,94,21,24,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",viper:41.0; vyse:35.0; killjoy:18.0
5395,cortezia,MIBR,br,15,330,1.08,196.0,1.27,75.0,130.2,0.72,0.21,1.59,0.11,0.07,33.0,8.0,3,40,25,/542269/mibr-vs-nrg-valorant-champions-2025-ubsf/?game=233472,237,186,68,35,22,event:2283,"{""side"":""all"",""role"":""all"",""agent"":""all"",""map_id"":""all"",""min_rounds"":""100""}",viper:40.0; cypher:33.0; killjoy:20.0
